id_acta_nacimiento,primer_nombre,segundo_nombre,tercer_nombre,primer_apellido,segundo_apellido,genero,fecha_nacimiento,id_municipio,id_padre,id_madre
1000000000,Giacobo,Lauren,Irv,Wisam,Haresnaip,M,2010-07-12,1313,,
1000000001,Ward,Dallon,Linoel,Brettelle,Collingham,M,2019-07-24,2003,,
1000000002,Pren,Dennet,Cirilo,Schaben,Malshinger,M,1955-12-16,1407,,
1000000003,Terencio,Vite,Ximenez,Hulk,Oaten,M,1924-12-26,808,,
1000000004,Jess,Ricardo,Terrill,Billingsly,Cowp,M,1918-02-09,109,,
1000000005,Torrey,Andrus,Johnnie,Benoiton,Ownsworth,M,1921-04-08,102,,
1000000006,Kristo,Silvio,Brade,Penas,Chessill,M,1931-05-17,116,,
1000000007,Hamlen,Wyndham,Buddie,Mournian,Beaven,M,1902-12-01,1603,,
1000000008,Maurie,Bordie,Barn,Loade,Asbrey,M,1965-02-02,611,,
1000000009,Rickey,Terrell,Clemmy,Martschik,McAloren,M,1930-05-08,1902,,
1000000010,Shermie,Lewes,Jeffie,Loughran,Abba,M,1976-01-16,1201,,
1000000011,Kennie,Gunar,Sim,Gasking,Vellacott,M,1952-03-15,514,,
1000000012,Hale,Leland,Abbot,Muncaster,Guitel,M,1913-09-27,910,,
1000000013,Wilfred,Farly,Gauthier,Beatty,Hughlin,M,1920-06-13,504,,
1000000014,Hamlin,Hansiain,Dallis,Birmingham,Fideler,M,1970-03-23,1709,,
1000000015,Mel,Bard,Jephthah,Dumberell,MacGiolla Pheadair,M,1900-06-08,1219,,
1000000016,Kermit,Khalil,Geno,Giraudel,Beric,M,1934-04-04,1015,,
1000000017,Al,Allen,Lemar,Morrissey,Janczyk,M,2002-12-08,1417,,
1000000018,Thorstein,Jeno,Hymie,Aiers,Tales,M,1918-12-31,717,,
1000000019,Gerry,Waldemar,Shermie,Paydon,Draycott,M,1908-03-30,111,,
1000000020,Bert,Nataniel,Ambros,Adamthwaite,Cocci,M,1962-12-31,1502,,
1000000021,Dwayne,Prescott,August,Helsdon,Mahaddy,M,1907-10-10,414,,
1000000022,Thibaut,Beale,Maximilian,Mattek,Gonet,M,1902-07-05,1315,,
1000000023,Murdoch,Cyril,Kippie,Simko,Loadman,M,1962-10-21,116,,
1000000024,Aleksandr,Rustie,Cleon,Ambrozik,Whitebread,M,1904-01-06,608,,
1000000025,Araldo,Jaime,Neall,Honeyghan,Meeson,M,1990-05-19,1206,,
1000000026,Bard,Roldan,Harrison,Timeby,Edelston,M,1977-06-16,205,,
1000000027,Oby,Warren,Gibb,Galvin,Ghent,M,1962-07-11,512,,
1000000028,Hendrik,Charles,Lanny,Eouzan,Luggar,M,1919-11-27,1613,,
1000000029,Mauricio,Bat,Cull,Roark,O'Dooghaine,M,1917-07-13,1611,,
1000000030,Randal,Read,Gage,Elwell,Habishaw,M,2009-11-01,205,,
1000000031,Brand,Neils,Raleigh,Driver,Hellin,M,2019-04-29,1221,,
1000000032,Malvin,Lenard,Karl,Dominici,Ionnisian,M,1951-04-10,2202,,
1000000033,Hy,Romain,Terrill,Wellen,Tort,M,1927-04-27,2209,,
1000000034,Cameron,Thornton,Cleve,Girardot,Fort,M,1957-10-31,1228,,
1000000035,Sanderson,Gunter,Nial,Assel,Duckwith,M,1914-12-31,2212,,
1000000036,Sanderson,Batholomew,Kirk,Albro,Winridge,M,1916-02-12,2214,,
1000000037,Charlton,Niles,Antonius,Lias,Durham,M,1967-06-12,1908,,
1000000038,Kelvin,Marv,Sarge,Mosen,Handy,M,1945-06-07,205,,
1000000039,Sam,Charles,Stirling,Gerriet,Featherstonehaugh,M,1973-02-13,1610,,
1000000040,Kennith,Randall,Fraser,Hinksen,Knowles,M,1970-12-10,308,,
1000000041,Will,Damon,Nevin,Duchatel,Mordey,M,1953-09-09,1308,,
